,precision,recall,f1-score,support
0,0.5757575757575758,0.5757575757575758,0.5757575757575758,33.0
1,0.5757575757575758,0.5757575757575758,0.5757575757575758,33.0
   , , , , 
macro avg,0.5757575757575758,0.5757575757575758,0.5757575757575758,66.0
weighted avg,0.5757575757575758,0.5757575757575758,0.5757575757575758,66.0
accuracy, , ,0.5757575757575758,66.0
sensitivity, , ,0.5757575757575758,33.0
specificity, , ,0.5757575757575758,33.0
