,DataSource,Standarization,Selection,Modeling,train_sensitivity,train_f1,train_specificity,train_auc,train_mcc,train_accuracy,train_support,cv_sensitivity,cv_f1,cv_specificity,cv_auc,cv_mcc,cv_accuracy,cv_support,test_sensitivity,test_f1,test_specificity,test_auc,test_mcc,test_accuracy,test_support
11,others,StandardScaler,ensemble,DecistionTree,0.8656716417910447,0.8467153284671532,0.8208955223880597,0.9369570060147026,0.6872564503672763,0.8432835820895522,134,0.49143610013175226,0.5099326599326599,0.5685111989459816,0.5398251287579351,0.06008048786232143,0.5296296296296296,44.666666666666664,0.5757575757575758,0.5428571428571428,0.45454545454545453,0.5257116620752984,0.030528125543633176,0.5151515151515151,66
13,others,StandardScaler,ensemble,AdaBoost,0.40298507462686567,0.5242718446601942,0.8656716417910447,0.7200935620405435,0.30304576336566325,0.6343283582089553,134,0.37878787878787873,0.3502047502047502,0.6469038208168643,0.5648880105401844,-0.006357580276986764,0.5075757575757576,44.666666666666664,0.2727272727272727,0.375,0.8181818181818182,0.4866850321395776,0.1084652289093281,0.5454545454545454,66
8,others,StandardScaler,ensemble,LgisticRegression,0.5373134328358209,0.5538461538461539,0.5970149253731343,0.6458008465137002,0.13456839120487699,0.5671641791044776,134,0.5685111989459816,0.5719101570264361,0.5988142292490118,0.6320517427236795,0.17317153113629702,0.5816498316498316,44.666666666666664,0.48484848484848486,0.5079365079365079,0.5757575757575758,0.5215794306703397,0.06085806194501845,0.5303030303030303,66
9,others,StandardScaler,ensemble,ElasticLogisticRegression,0.5373134328358209,0.5538461538461539,0.5970149253731343,0.6458008465137002,0.13456839120487699,0.5671641791044776,134,0.5685111989459816,0.5719101570264361,0.5988142292490118,0.6320517427236795,0.17317153113629702,0.5816498316498316,44.666666666666664,0.48484848484848486,0.5079365079365079,0.5757575757575758,0.5215794306703397,0.06085806194501845,0.5303030303030303,66
10,others,StandardScaler,ensemble,rbf-SVM,0.5074626865671642,0.5230769230769231,0.5671641791044776,0.5716195143684563,0.07476021733604277,0.5373134328358209,134,0.5830039525691699,0.5788754526200725,0.5843214756258234,0.6339381961911607,0.1715339574659848,0.5818181818181818,44.666666666666664,0.48484848484848486,0.48484848484848486,0.48484848484848486,0.4967860422405877,-0.030303030303030304,0.48484848484848486,66
14,others,StandardScaler,ensemble,XGBoost,0.7313432835820896,0.7101449275362319,0.6716417910447762,0.7852528402762308,0.40370517361463093,0.7014925373134329,134,0.5375494071146245,0.5725026852846401,0.6745718050065875,0.6532219427476343,0.22216075631556784,0.604040404040404,44.666666666666664,0.6666666666666666,0.6027397260273972,0.45454545454545453,0.5119375573921029,0.12403473458920845,0.5606060606060606,66
12,others,StandardScaler,ensemble,RandomForest,0.9552238805970149,0.9624060150375939,0.9701492537313433,0.9942080641568278,0.9254762227411247,0.9626865671641791,134,0.6416337285902504,0.631082251082251,0.613965744400527,0.6567852437417655,0.2582281631841773,0.6265993265993265,44.666666666666664,0.5151515151515151,0.4857142857142857,0.3939393939393939,0.47842056932966026,-0.09158437663089954,0.45454545454545453,66
7,first256,StandardScaler,ensemble,LightGBM,0.8208955223880597,0.7913669064748201,0.746268656716418,0.8687903764758298,0.5687501230847872,0.7835820895522388,134,0.6106719367588932,0.6057382333978079,0.5974967061923584,0.6712929692178703,0.2083880127141018,0.6043771043771043,44.666666666666664,0.7272727272727273,0.6857142857142857,0.6060606060606061,0.7309458218549127,0.33580938097996493,0.6666666666666666,66
15,others,StandardScaler,ensemble,LightGBM,1.0,1.0,1.0,1.0,1.0,1.0,134,0.5230566534914362,0.5825670317714381,0.7325428194993412,0.678464486764882,0.26304655603793753,0.6269360269360269,44.666666666666664,0.5454545454545454,0.5217391304347826,0.45454545454545453,0.5206611570247934,0.0,0.5,66
3,first256,StandardScaler,ensemble,DecistionTree,0.835820895522388,0.7832167832167832,0.7014925373134329,0.8563154377366897,0.5422277098159002,0.7686567164179104,134,0.5816864295125165,0.6058265582655826,0.6554677206851119,0.693960354533477,0.2403031706973583,0.6196969696969697,44.666666666666664,0.7272727272727273,0.7384615384615385,0.7575757575757576,0.7493112947658402,0.48507125007266594,0.7424242424242424,66
