,Volcano Plot_p
UQCRC2,-1.0644430222234942
RECK,-1.064443307279755
PF4,-1.064542114870672
GATM,-1.0646026562294844
HRG,-1.0651598553969335
LIMS2,-1.0657858439627845
TMOD2,-1.0671370902842618
COX5B,-1.067577365222468
NDUFV2,-1.0679926855370032
PDLIM2,-1.0703615799673656
ELAPOR1,-1.0722712261586251
CTSF,-1.0742142083825916
PLCB1,-1.0742992078795868
PCCB,-1.0746856520094015
NDUFS4,-1.0749128627039413
NFIX,-1.0758553493659797
BDH2,-1.0760403948855075
PCDHGC5,-1.0768538589714314
ACADM,-1.0781445166674692
TNS1,-1.0795466864584056
PDK2,-1.0805441140913463
PABPN1,-1.082049867684777
LMOD2,-1.0825231280572636
APOH,-1.08574137451049
NDUFV1,-1.0861437195990664
PPBP,-1.0878013662190535
FETUB,-1.0887471388314625
F2,-1.0905069159661447
LRRC17,-1.0908776292547484
ACAD8,-1.0918422679355309
BLVRB,-1.0928924941412033
COX6B1,-1.093041230043739
UQCRC1,-1.0936173205743551
SELENOP,-1.0953695189963333
PPP1R1B,-1.096001276152721
HSPB3,-1.097108158865601
CPN1,-1.0989811606388966
ITGB1BP2,-1.0996478656485198
COQ6,-1.1012085145777466
UQCRFS1,-1.101419537868199
THAP4,-1.1015273011810995
C4A,-1.1020403096487987
HSPB8,-1.1032955907765907
MTURN,-1.10536854661746
NDUFS5,-1.1054131906971176
FLNC,-1.1056143062250574
COX4I1,-1.1081427285334469
IGHV3-64D,-1.1102309948079525
COL15A1,-1.1108401318204673
PALM,-1.1117586380513798
LIMCH1,-1.1120060392455957
ALDH2,-1.1120169200967054
IGHV3OR15-7,-1.1129008657752604
CLIC3,-1.1141953581167963
CAP2,-1.1164371491826346
ADIPOQ,-1.1165823671278894
GOLM1,-1.1171040350128307
SBSN,-1.1178290441121204
SHBG,-1.1178315003705137
COX7B,-1.119063132015684
IDH2,-1.1216834912859226
ECHDC2,-1.1221723268763601
AMBP,-1.122452260869409
CGNL1,-1.122892550432153
POTEI,-1.1229499363949262
CPN2,-1.129450451055547
IGHV1OR15-9,-1.1338487389250067
NDUFA4,-1.1347937795089966
PPP3R1,-1.1376722226617193
COL6A6,-1.1399288239893075
CLYBL,-1.139947540982795
BTD,-1.1402162242000173
PRR33,-1.1407020583458995
MRGPRF,-1.141059195002026
LRRC20,-1.1411501785506373
BCKDHB,-1.1470063433587723
AGFG2,-1.1489772495438135
UGT1A10,-1.1510900277349039
SFRP1,-1.1522262693848206
NDUFS1,-1.1531894757962322
ALDH1A2,-1.1543021259286885
DEPTOR,-1.1552875720031102
ACADSB,-1.1553577637972687
TUBA8,-1.1564097497471686
APOC3,-1.1570571710293345
PEBP1,-1.1580546406128194
COQ7,-1.1600666396955135
CCL14,-1.1616394461324098
MMRN1,-1.164804348737943
RTN2,-1.165091592497757
ITIH4,-1.1665561019440114
MACROD1,-1.1685000652607367
IGHV2-70D,-1.1691656609735814
TXLNB,-1.1692195397392628
IGHA1,-1.1696212252302665
EPS8L1,-1.1700475199035218
AGL,-1.17011368326034
GPT2,-1.17050625073647
C3,-1.17065125867849
MLIP,-1.1710397422270633
EPM2A,-1.1716538043898144
SYNPO2,-1.172907704566272
OLFML3,-1.17302842049073
ALDH4A1,-1.1733526141232418
CPA3,-1.1738113690299856
SPTB,-1.1764408897060983
APOD,-1.1766803738949672
PID1,-1.1771722293237823
PLEKHA7,-1.1781070785425007
PRR4,-1.1783204746445703
ECI2,-1.1787278689740153
NT5C1A,-1.1793180454217005
PDHX,-1.1795824578019987
SERPING1,-1.1797108496827726
ECM1,-1.18759091232101
MYH8,-1.1879548985626378
EPB42,-1.189067611410315
PPP1R3A,-1.1907418221362858
PDHA1,-1.192889262667554
COQ3,-1.1929295732460332
SLC26A2,-1.1944073001044575
HPGD,-1.1964498172821312
PDHB,-1.200830778676537
MYBPH,-1.2027792346574755
LAMB2,-1.203521320775568
NUCB2,-1.2046608895329642
NACA,-1.2047503561001525
SYNPO2L,-1.2059334948280667
TBC1D12,-1.206423006588639
PRDX2,-1.2069619144317172
ACO2,-1.21105413825897
SGCG,-1.2112757813290478
CASQ2,-1.2128099358128803
KRT3,-1.214196882999872
TTN,-1.2166029950882973
IGLL5,-1.216612142988995
FGFBP1,-1.2177025068222558
SERPINF2,-1.2177070178887806
MAMDC2,-1.222055159551191
HSDL2,-1.2228178351576737
GSTM5,-1.224990748933647
FGF2,-1.2252921901192806
DGLUCY,-1.2276354849282005
ETFDH,-1.2278888160005963
APOA4,-1.2283733002292958
NTN4,-1.2291608406617767
L1CAM,-1.2292781778519177
SRPX,-1.2294806513641923
APOA1,-1.2316190979288635
DMD,-1.2320293262185604
PLAC9,-1.2338004662497208
ALDH1A1,-1.234244801410369
BIN1,-1.2367346469074378
ATP5F1E,-1.2369679432944152
MYH7B,-1.2377392738760364
A1BG,-1.2391547814919266
HADH,-1.2413367919110607
MT-CO1,-1.2419636654001411
BGN,-1.2435211551535765
SPEG,-1.2442686663871638
MYLK2,-1.2444221256037775
JPH1,-1.2468629510488312
PHKA1,-1.2497488562588521
DCLK1,-1.2546753700338895
SERPIND1,-1.255254701147579
PLAT,-1.259139633718281
PON1,-1.2643430997818879
ALDH6A1,-1.2725565069006226
VSIG10L,-1.273615385479041
RGN,-1.2738454407658886
PYURF,-1.2762902197178345
CLEC3B,-1.2787046085227813
GFAP,-1.2790603628295787
DDAH1,-1.2794774614315587
UNC45B,-1.2810157047121258
TTC9,-1.2834802642544634
LYPD3,-1.2841512902406564
GALNT12,-1.285154073300387
PPP1R1A,-1.2872533975322298
RNASE4,-1.287406109412099
TMEM143,-1.2882646690550779
TPRG1,-1.2899936969923624
CMA1,-1.2904811174221262
GNG11,-1.2911914191338267
COX5A,-1.2948843657784137
MYOZ2,-1.2959493350329583
SERPINA6,-1.296784429503778
MT-CO2,-1.2970397817193302
PITX1,-1.2981369340752325
DMTN,-1.2990747633567017
ZNF185,-1.3007214070296744
CAVIN1,-1.3025096965291882
CAPN14,-1.3049655128146798
COX6A2,-1.3096220981561641
PHYHD1,-1.3124559343742312
CAVIN4,-1.3162044164673252
AGT,-1.3169414281028273
ANK1,-1.3192828163583492
HSPA12B,-1.319503771656541
ANXA1,-1.3198631064443518
APOF,-1.3210497935288286
MUC4,-1.3217353169408994
SLC4A1,-1.323152508005228
SNCA,-1.3231531264714798
IQCE,-1.3234953381693089
ALB,-1.3249834662570086
IGHG2,-1.324997625863696
