,DT_score_c45,RandomForest_gini,AdaBoost64,LassoLinear,multi_Lasso,SVM,XGboost,Lightgbm
79,GART,SF3B2,,SH3D19,RASSF8,TFRC,,APBB2
80,TRIP11,ARHGAP31,,VPS28,RSU1,BLOC1S5,,EPB41L2
81,MYO6,PRKDC,,A1BG,PDE5A,SYNJ1,,AK2
82,ACIN1,ZC3H15,,TRIM2,SASH1,ZNF48,,MAN1A1
83,SF3B4,COL6A6,,SELENOH,TTC7B,MOSPD2,,AOAH
84,SLC16A3,YTHDF2,,PBXIP1,PALMD,RPGR,,NUP43
85,HOOK1,EHD1,,NDRG4,CASKIN2,GAPVD1,,CASP6
86,QKI,PPM1G,,CYP51A1,PDE2A,HSPB7,,PPP1R16A
87,WDR36,COPB1,,GREM1,EML1,SOSTDC1,,GRHL2
88,MAP7,SF3B1,,ATP1B1,PLCL1,CTNNAL1,,CFHR3
89,HNRNPF,RPL23,,BGN,ADD1,FBLIM1,,HERPUD1
90,CSE1L,DDX23,,CDH1,TOM1L2,IGHG3,,MGP
91,POLB,CAV1,,CILP2,TMOD1,PIGO,,TMOD1
92,CEBPZ,GNG11,,ASPN,ERG,SCAMP2,,MMP7
93,ZBTB7B,P4HB,,ACP5,STARD13,DENND4C,,RBP1
94,TRA2B,LAMB2,,DNAL1,KCTD12,EMILIN1,,FNIP1
95,ESF1,DNM3,,RAB25,COL6A6,ACADM,,PPP1R13L
96,SSRP1,SF3A2,,LSS,ARHGEF26,WNT2,,C1orf122
97,RPL5,FGD5,,AGTPBP1,WWC2,SCLY,,UNC13D
98,UBAP2L,TNS2,,HTATSF1,MPDZ,TP53BP2,,EOGT
99,CIAPIN1,RPS21,,ADH1A,CRYAB,MLPH,,MUC5AC
