,top5,top10,top20
DT_score_c45,0.9994026284348865,0.9991039426523298,0.9998506571087217
RandomForest_gini,0.9998506571087217,0.9998506571087217,1.0
AdaBoost64,1.0,1.0,1.0
LassoLinear,1.0,1.0,1.0
multi_Lasso,1.0,1.0,1.0
SVM,0.8717144563918757,0.9481780167264038,1.0
XGboost,1.0,1.0,1.0
Lightgbm,0.9998506571087217,1.0,1.0
