,Volcano Plot_p
LCP1,1.0692795660399286
HBQ1,1.068948604177423
MLKL,1.0680728794577645
MET,1.0666426019625708
VIM,1.0663316030551964
OLFML2A,1.0648254503706847
EVI2B,1.0601147418161858
MXRA5,1.057870566987786
LTBP2,1.0575356665713027
HLA-DMA,1.0564840335519736
MNDA,1.0561793720915758
SPARC,1.0553858109073526
COL5A2,1.0553462796560065
PTPRCAP,1.0534148958105658
STAT1,1.0519800608534677
CASP1,1.0477265311672923
CD163,1.0476881795045532
RSL1D1,1.0449758070492057
NEK6,1.044776047722568
FMNL1,1.0433497970130565
HSD3B7,1.0356303436679277
CD4,1.0324584121814049
RASSF2,1.0320787247027197
BIN2,1.0270845537398012
DOCK2,1.0268373755755493
CDK18,1.0235232944621167
CIT,1.0228500618936187
ADA,1.022614075545902
TRIP13,1.0210315418472544
CLIC6,1.0196822967243504
GRAMD4,1.0179572755494968
FERMT3,1.0152627129376504
MCM7,1.0151066627149994
OSMR,1.0142840364238443
MCM2,1.01244511285293
VAV1,1.011485113954013
RCN1,1.0090717243850695
MTCL1,1.0057207252101754
LRRC17,1.00344951414075
HLA-DRA,1.0024737921581934
PRDX4,1.0009924849119165
KCNAB2,1.0009319864573596
RBP1,-1.0001936041687278
KHK,-1.001595131708232
MRPS28,-1.0037521307014956
MRPS33,-1.0050895209530102
MYOC,-1.0055586331987443
COQ6,-1.0067227560699044
ANK3,-1.0083911163481893
SDHAF3,-1.009455490516997
DAP3,-1.0104748240182584
DLST,-1.0104764346328985
MRPS31,-1.010868550637044
PPIF,-1.0118488358114832
ALDH3A2,-1.0153054139133673
GALNT3,-1.0155301957210192
HS6ST2,-1.0159807157854703
C11orf54,-1.0173777884932338
PDHX,-1.017802490157948
NHLRC3,-1.0179718007497618
CHAD,-1.0187510483512674
FREM1,-1.0188196166164676
SDSL,-1.0216185834776157
DGLUCY,-1.0227406522747076
PLLP,-1.0231262748319558
SLC5A1,-1.02326561471647
CLCNKA,-1.0262552640061757
COA7,-1.0285104694951879
NUDT8,-1.0308467431630726
ACSS1,-1.0308584938365946
ATP6V1E1,-1.0315348235453827
TCAIM,-1.0319989583505333
MPC2,-1.0321408311469331
FH,-1.0331145813340923
MOXD1,-1.0333775454345442
MOCS1,-1.0370406416460813
FERMT1,-1.0379018204291062
ATP6V1D,-1.0389728557422806
RAB11FIP3,-1.0395419670792985
LYRM1,-1.0397834283518286
PIGR,-1.0439631335421946
ATP5PO,-1.0439726886452383
GLS,-1.045497196749527
PPA2,-1.0471509915452182
COQ4,-1.0473441728599442
RGN,-1.0473691348324043
INHBE,-1.0484397174537334
PLA2R1,-1.050196054267221
NDUFAF5,-1.0530042882109933
TXNRD2,-1.054356197446196
LRPPRC,-1.0553442477299777
GRHPR,-1.056050931300407
SMCO3,-1.0577889613630265
NEBL,-1.0597034356885116
GPHN,-1.0607946985569399
VWA2,-1.0614611154300073
IVD,-1.0619656071290695
TMEM141,-1.066179109282284
WDR72,-1.066358828782204
CPT2,-1.0677267837160165
PAPPA,-1.068041928382757
RIDA,-1.068569940864841
DACH1,-1.0686885792430907
COL4A1,-1.0689036948913433
PRDX3,-1.070773683146687
CORO2B,-1.0709494616454618
NAPEPLD,-1.0729755117602475
THNSL1,-1.074620424394796
ATP5PF,-1.0748537918848557
ATP5F1C,-1.075990601445098
NTN4,-1.076500409660194
