,top5,top10,top20
DT_score_c45,0.9911255411255412,0.9984848484848485,0.9995670995670997
RandomForest_gini,0.9958874458874459,0.996969696969697,0.9980519480519481
AdaBoost64,1.0,1.0,1.0
LassoLinear,0.9867965367965369,0.9997835497835498,1.0
multi_Lasso,0.9924242424242424,0.9915584415584415,0.991991341991342
SVM,0.9367965367965367,1.0,0.9997835497835498
XGboost,0.9982683982683982,0.9984848484848485,0.9982683982683982
Lightgbm,0.9974025974025975,0.998917748917749,0.9989177489177489
