,DT_score_c45,RandomForest_gini,AdaBoost128,LassoLinear,multi_Lasso,SVM,XGboost,Lightgbm
82,CD2,PARVG,,IGHG3,NPC2,PPL,,RRM2B
83,PGK2,NDUFS8,,KRT8,NNMT,ALDH6A1,,MXRA5
84,PHKB,ADPGK,,TLR10,ACADM,MIF,,SLCO2A1
85,ALDOC,GNE,,EZR,COL14A1,ACLY,,MDM1
86,TMTC3,DDB2,,MTARC2,SPTA1,NID1,,KLKB1
87,ANXA4,NDUFS6,,TGM2,FBP1,HSPG2,,RETN
88,PRPSAP2,COLGALT1,,IGHM,FGA,BLVRB,,NDUFB8
89,BCAT1,RRP15,,HSPE1,FABP7,EHD2,,GTPBP1
90,HSPA2,GMIP,,CRYAB,CSRP1,LASP1,,RPA2
91,IPO11,PRDX4,,LAP3,ANXA2,NHERF1,,BOD1
92,ARHGAP15,ENO2,,FHL1,TYMP,ADIRF,,RNASET2
93,CSPG4,BOP1,,ANXA6,TGM2,NNMT,,RFC2
94,CD74,SURF6,,APOA4,LUM,PTMA,,FN3K
95,IGFBP3,GYS1,,AHNAK,COL18A1,GGH,,PSAP
96,HM13,NMI,,HPX,TAGLN,HSPA9,,IVNS1ABP
97,ERGIC3,NUDCD3,,CBR1,CLU,ENO2,,IGKV3-7
98,SEC24A,NDUFA2,,ENO1,TNC,ACAT1,,BLVRB
99,RIPK2,NDUFS1,,COTL1,LGALS3,LAD1,,SMCHD1
