,Volcano Plot_p
COL3A1,-1.1739576114577408
DPP6,-1.1793149943711516
NCAM1,-1.1884356796168096
AFM,-1.1926770111788514
MRC2,-1.194600393728168
HSD17B2,-1.1948774052232942
CNRIP1,-1.1961524802744996
ECM2,-1.1965491940775153
IGFALS,-1.198690056070501
H1-1,-1.1992925056557906
TSPYL5,-1.1999586402081395
ITIH2,-1.2003877421737013
DNM1,-1.2013576962717083
GC,-1.2030718586454314
FOXL2,-1.2109580947763177
CPXM1,-1.2144534946044694
GJA1,-1.2183660344978935
ISLR,-1.222072079332417
COLEC12,-1.224244239992032
PON1,-1.227242791018193
NRP1,-1.2315897521613388
CORO2B,-1.242316891181533
SERPINA6,-1.248864399471611
KNG1,-1.252856039386385
ALB,-1.2557923710261694
HIC1,-1.2631346623824962
APOD,-1.2635345797173223
HMGN4,-1.267286197038543
APOM,-1.2845162634195701
COL6A3,-1.291078006589207
PAGE4,-1.2991214910674835
WNT2,-1.3041832990942814
APOC3,-1.3061779873754777
ZEB1,-1.306487978490789
COL1A1,-1.3117667485684128
MOXD1,-1.3128381126247128
HAND2,-1.322290203841875
TGM2,-1.3280470658076848
HSD11B2,-1.328958330628234
MXRA7,-1.3293157765851842
CD81,-1.330769935257596
PRF1,-1.3531209981215198
IGKV3D-20,-1.3623108740819532
PLPP1,-1.3628496098046015
SHBG,-1.3647867598273544
PDGFRA,-1.3720607390858146
RBP7,-1.3724015144130142
IGHV3-7,-1.3820819568931684
ALDH1A3,-1.3977305009744705
IGHG2,-1.4027025130785553
CD34,-1.4072726745366781
FTH1,-1.4115333765841402
TCEAL5,-1.4127144712934707
AGT,-1.4161525635682113
THY1,-1.4167120055000064
FAP,-1.4170258664154236
STON1,-1.4192978413285484
TSHZ3,-1.4208485244767761
APOF,-1.450635813698732
APOC1,-1.4592503087843358
GZMB,-1.4704281004116897
LPAR1,-1.4713155871728152
PDGFRB,-1.4841649627099411
ITGA5,-1.488992856518591
CACNA2D1,-1.4973486012729722
CDH11,-1.5034637242093816
COL28A1,-1.5123245579091413
PCBP3,-1.527211798711977
CRMP1,-1.5292658081791282
APOA1,-1.5311691440829793
CAV2,-1.535162269984743
CRISPLD2,-1.535755078108592
ADAMTSL4,-1.5520024145789004
HSPB6,-1.5626564235875267
COL6A1,-1.5696700228921594
JAM3,-1.575871762515384
FXYD1,-1.5759035637621819
HPR,-1.5912734008360463
COL4A1,-1.5914162914389145
COL6A2,-1.5970153402079843
OMD,-1.5971236324391498
RECK,-1.6020534077354727
PLCL1,-1.619830677783534
MAOA,-1.6386118162130676
CYP1B1,-1.6412492029791323
PRNP,-1.6417701772961417
SSPN,-1.6419473477060025
RFTN1,-1.6587188666602386
GNAO1,-1.667491976065989
SFRP4,-1.678487568196255
CAV1,-1.7414201009100838
GZMA,-1.7427963966348754
FBN1,-1.7459401906542833
ENPP1,-1.799074606059433
KIAA1210,-1.8016140242464278
PALM,-1.8299640460674362
ALDH1A2,-1.8541563342091818
NEFM,-1.8545199981855254
COX7A1,-1.8888062870440139
ENPEP,-1.9009509301708964
LSAMP,-1.9504620135241793
GUSB,-1.9890296795986007
APOA2,-1.9962972294931116
TMEM119,-2.0210348062569277
FTL,-2.0379388007656227
CD248,-2.0803834149033897
PARM1,-2.105194073365363
MME,-2.1336761873664054
MRGPRF,-2.3799660426007905
CDH13,-2.4421588474108145
PAEP,-2.9722413050489793
