idx	01OV007	17OV003	01OV023	17OV005	01OV017	11OV002	01OV029	14OV011	17OV004	01OV039	15OV001	01OV013	11OV010	01OV019	01OV008	14OV029	01OV010	17OV002	17OV001
ENSG00000000003.15	23.2501923560156	23.3298544452181	23.6504826993623	24.0872981422259	23.9261433005073	22.5414235733841	23.7990139084526	23.1197862448767	24.0863737625859	24.7614526015436	23.8672512595338	23.4719284368871	23.8551080818553	24.4442160899116	23.5960290103543	23.9818950445444	24.2028851956917	24.4909606214514	24.3068675916635
ENSG00000000419.12	25.5908223673352	25.5809801517475	25.6532774562461	25.8132576495882	25.8106956656282	25.9900442674455	26.0601222268495	25.8709358348855	25.6224584001501	25.7638532303066	25.6740935917835	25.4031898765984	25.8563183086629	25.8859538012017	25.5076289283171	25.5775485278075	24.9729157510637	24.8505877835135	26.1569246877096
ENSG00000000457.14	NA	NA	NA	NA	NA	NA	20.5352514603946	20.1596308347289	20.9278321370189	19.8986117208487	19.6236580424076	NA	NA	NA	NA	NA	NA	20.3263491085394	NA
ENSG00000000460.17	NA	NA	NA	NA	NA	NA	NA	NA	19.4207059982937	17.1292917510159	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000000938.13	20.5389457365504	NA	NA	NA	20.7564649651935	19.7402020382511	19.9937435536249	20.9765201958796	NA	20.3721551672061	NA	20.5429034682717	20.3615631963636	19.8738985811454	20.6722151266473	21.0536071183763	20.6597245387544	20.279014223698	18.974008054076
ENSG00000000971.16	29.1904993866124	29.3496030551358	29.8054831027926	29.6245403446533	29.1864279015701	28.9706899277842	29.3135391613798	28.0520960379955	30.4257906375627	29.1134282725879	29.6183962330729	28.9714778362164	29.6669869440148	29.1942276334129	28.3521734070406	30.89770250828	28.2066075768384	29.8119696876564	28.3743162400768
ENSG00000001036.14	24.2456171740331	24.2069576146833	24.0749938124505	23.9061382355176	23.9572992077459	23.9476727469375	23.9363866619099	24.3473425220714	24.3108868345199	24.2714784052216	24.1909066400782	23.7876663988233	24.0596121530655	23.7866992079625	24.6114298011742	24.2964115905444	23.4759345581831	24.3367406230043	24.4241376108592
ENSG00000001167.14	22.5846137167685	22.0850402865129	22.415381520481	22.890823346959	20.6887604884015	21.5697041708636	22.5621092659869	22.624134757817	22.9105989783268	22.9476222314659	21.8371812068736	21.6633776454128	22.4831534760059	22.2598103203946	22.8271080824043	22.5704387484195	22.4493207529859	22.3756395848349	23.5423528777191
ENSG00000001497.16	22.4338391650879	23.096348421119	22.7103704657179	22.0153124971529	21.9165109304566	21.750666584656	22.8038195004637	22.4479941871045	22.2241603020152	22.3055170585782	22.7030579818576	22.5512481167715	22.8621075740074	22.3664985698687	22.6710684104385	22.3825639500499	23.3032795640273	21.9340550934187	22.3526844761981
ENSG00000001561.7	24.3407971121062	24.1311201537832	23.9380235748556	24.3219797641978	23.3406177255353	23.8767511364975	23.8320861143346	24.7491893888704	23.6596145685769	23.2290462340264	23.7439321591838	24.6694811955058	23.3175722548345	23.9769899058596	23.6863660715384	23.7014651892	24.0566601957157	24.1247062024276	23.9733984486793
ENSG00000001617.12	NA	NA	NA	NA	NA	NA	21.1405542828227	20.7789787130113	20.9409144674082	NA	21.7312276634188	23.3442763986592	22.0568336132644	20.6440220519809	20.8405566749958	NA	NA	22.4525185143616	21.9784132667806
ENSG00000001626.16	NA	NA	NA	NA	15.7595371003421	19.7316727575713	17.7165296077307	17.6816748977011	NA	20.0785969762416	NA	NA	NA	NA	NA	NA	NA	NA	17.6048941286619
ENSG00000001629.10	21.4304161777189	21.6022324237403	21.690132967365	21.2306943368991	21.9366063222964	21.3671182772928	21.29347727586	21.379388213117	21.152483436059	21.7654047424251	21.7452519553448	21.4431606385612	21.3953030166971	21.3361300173605	21.1234728497057	20.8562086349794	20.6803832668499	20.7390111385478	21.7908211602182
ENSG00000001630.17	24.1332995594681	24.558743921434	24.3987570066888	24.8935445995286	24.6428761875984	24.7144651348711	24.5566391158675	24.4496913698421	25.3680905642997	24.3395216311371	24.1964388721925	24.0154629705277	23.7603169082772	24.2980948517289	24.2165989991816	24.0092899769085	23.9170477037544	24.0503060035307	24.5016114138128
ENSG00000002330.13	24.1283293161216	23.6903828990078	24.1345905334672	24.5875015640022	24.5769428804622	23.2106186504955	23.5531730666355	23.4185530860072	24.1849178020063	23.5441150028184	23.361697440107	23.568759014911	23.4440208667423	23.225138211228	23.2851152359518	23.2009670779928	23.8661015274481	24.2779454068949	23.7535683151955
ENSG00000002549.12	28.0500379120217	27.8692652622084	28.8234817296876	28.2127678902291	27.6959486652851	28.0169081252253	28.156338531602	28.6825572457387	28.115816513759	27.8684511215835	28.5390392328649	27.9399260176618	27.7238463937122	28.3024911931211	28.6382110396752	28.5039834211223	27.755871101463	27.5967551400164	28.0970790945563
ENSG00000002586.20	NA	20.162441767059	20.318107912716	21.1286686135461	19.3079712857679	20.8671250951209	21.1188067076875	20.1833298118927	NA	NA	NA	NA	NA	20.7871001630133	20.1223522920026	NA	NA	20.7624570918825	20.3904745610316
ENSG00000002726.20	22.4944848604266	NA	NA	NA	NA	NA	22.1353653229272	22.7899227866385	22.0247190203096	22.8199425350246	21.9486502088242	22.0759281185978	21.9545485834504	20.7286771696022	21.3166095266205	21.3223366515413	22.6578737071686	22.4244907830631	21.7936683627942
ENSG00000002822.15	25.153743920618	25.1380383260165	24.6571335175593	24.7571929741645	24.8487981400095	24.8196090425003	25.1179638199687	25.3250567629066	24.5569490470298	25.2458081316232	24.9131579215707	25.4930920321509	25.2479223323844	24.6897520526408	24.9609799636138	25.2036128406415	25.1534477902123	25.4382015317604	25.1931149458014
ENSG00000002834.18	28.8974697266824	28.7324708418466	28.8328318503753	29.017446979004	29.1413725309276	29.2083652380829	29.7361118572348	29.1713833768077	28.8285416307169	29.4807741939975	29.689128072104	29.3067961800238	29.9528609021142	29.1661045437667	28.8945294058732	29.246147469198	27.9155322517133	29.3645119483927	28.8895704633565
ENSG00000002919.14	NA	NA	NA	NA	20.2543382882173	20.269026468082	NA	NA	NA	21.5350970799345	19.7231855670831	NA	NA	19.7372067211416	19.75558296788	20.0784671526525	19.7493212685205	20.2011704394118	19.8821031735394
ENSG00000002933.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	18.9818704774364	18.7166595344992	18.7219274856544	NA
ENSG00000003056.8	26.207788319726	26.0593017219786	26.578309622125	26.7993329363387	26.6223642783525	26.2485818739917	26.141734453622	26.7385391718987	26.6983889905046	26.6327387212824	26.3744923779576	27.0438913096685	26.7900706277046	26.3495958298267	26.819615361896	26.2839045082491	26.7880070289188	27.0110449997686	26.3379555838071
ENSG00000003147.19	NA	20.8678750402855	19.8561328580607	20.4221445792329	NA	NA	NA	NA	20.1120885988723	19.7996772064325	20.1366871506637	19.799458062851	20.2937737216737	20.2822617871998	21.5777317179175	NA	NA	21.2592520352689	21.0406937582797
ENSG00000003249.14	19.6566635999536	18.9125370148164	18.3862748821012	18.4717391826388	NA	NA	NA	NA	NA	NA	NA	NA	NA	19.2076732310525	19.4194483511319	18.3475545954062	19.3278916422082	NA	NA
ENSG00000003393.15	23.1200072739914	24.2802298047387	22.9567040727053	22.7536816035175	NA	NA	22.8171897824532	23.0954994325176	23.1057023580683	22.1920676130776	23.1092451580855	22.317778276321	21.0122713983654	24.8171193285049	26.8646666801491	23.1281184011403	23.8311339089087	24.3449659213815	22.5987713576516
ENSG00000003402.20	18.2811537631287	19.0623722531042	19.1198539603585	19.3299377264128	19.178148083165	19.0590773987099	19.243508172253	19.2936818958536	19.1866656503269	20.0344600048229	19.6909133989586	NA	NA	NA	NA	NA	NA	NA	19.313467956508
ENSG00000003436.16	NA	19.6521334609483	19.9410689186237	20.2423138836349	21.0978669087639	20.198387907383	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19.2788106436094
ENSG00000003509.16	23.6069987170351	23.7590950040271	23.4047059772904	24.0972608319285	23.5884209929937	23.6571683214265	23.5882470807395	24.0321626141877	23.4088257672596	23.4053228289171	23.5956996998083	23.9735641226786	23.3568107377394	23.4933666330197	24.2066289442395	23.6192980997974	24.7120365644769	23.9873652746601	24.6087470220382
ENSG00000003756.17	23.9219273532745	24.2245258822464	23.8196298162905	24.0751632307737	23.7769823432908	23.7403259327706	24.1217612558076	24.191139930067	23.7696637891851	24.0897578555327	23.6227471984715	24.170131501925	24.1390983752966	23.6572784121316	23.4950006792478	23.6785348264008	23.8336990538112	24.3139607698651	24.1425085550975
ENSG00000003989.18	NA	NA	NA	NA	NA	NA	NA	NA	21.5908521125325	NA	18.9842807473381	NA	NA	NA	NA	NA	NA	18.732232404599	NA
ENSG00000004059.11	26.0675056412994	26.0597777996192	26.7730450474865	26.7123847246125	26.944475810606	26.3049269596435	26.7193125801054	25.9064720142895	26.9058643927065	26.8434870397896	26.5975884347102	26.2706786638213	26.7208963935583	26.6934630975877	26.4602340146804	26.0473004303465	26.0218585062334	26.767524105953	26.8669177421341
ENSG00000004139.14	22.6290088248647	23.4378289266079	22.8638395431969	22.6975045369829	23.3757863560425	23.0640393844319	23.3713993874061	23.3890960528475	22.8076670382919	23.4644922747584	23.6054050002842	22.2190353637281	23.3068719808066	22.6904232016235	22.9071644032699	23.1308705215018	22.7019957406731	22.210279869739	22.5168393680311
