idx	NX1	NX2	NX3	NX4	NX5	NX6	NX7	NX8	NX9	NX12	NX17	NX13	NX14	NX10	NX16	NX18	NX11	NX15
ENSG00000000003.15	25.0560309277093	24.2605208666215	24.303116561641	24.7853466488552	24.917805500721	24.249563049012	24.3191345812758	24.7932922678403	23.9637395427566	24.1175807340784	23.3431758441568	24.7231220048231	24.1840245286562	24.0574461979047	24.1553988330373	24.7298329698663	24.6756155220264	24.4546067633671
ENSG00000000419.12	25.5749737244882	25.4897338039977	25.7159395749385	25.6421729255976	25.6805359982957	25.6720268264398	25.5848536930213	25.5721024473817	25.4319492961482	25.9641600378507	25.5011147897417	25.7681099723388	25.9274706390088	25.7652221308962	25.6573256649515	25.8610427053091	25.7845577107243	25.9581620408593
ENSG00000000457.14	23.0671448655196	22.825778483175	22.3813706011455	22.602708583656	22.4761978214375	22.6172897521071	22.2666728459579	22.6204710293097	22.6878470134782	22.7780485213979	23.2342379080227	22.399949849004	23.0710331096511	22.6818287687565	22.7781454904002	22.8391928345336	22.4929949904833	22.7066405166969
ENSG00000000460.17	15.6758440458317	15.0423685140303	NA	NA	14.9184750762039	15.4482174843927	14.6118089185982	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000000938.13	20.4702614066411	21.8839140995122	20.2946628691775	20.6177807684823	20.8870529488578	21.027754553644	20.6735220121868	20.679685286056	20.9718113281359	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000000971.16	28.094430932797	27.8294600200647	28.1095592439267	28.2306191744833	27.698931725989	28.065935586968	27.6926158936099	28.4289724029597	28.5013549717808	28.3296653205487	27.6421763343649	29.07185464789	27.8659831527488	28.3093824231909	28.3453450272437	28.2334915526543	28.5795318853568	27.7414400817941
ENSG00000001036.14	24.8108506675227	24.5706510158391	24.7015326679913	24.9829527121917	25.4224971626969	24.5183001968083	24.9243961245979	24.6345353038736	24.2622746716997	25.1970509838744	24.3147654373091	25.0025761422478	25.1636268198188	24.7270832476989	24.8012648010994	25.1378506900088	25.2285492248014	24.6484330190633
ENSG00000001084.13	26.8703034176243	25.6259646590443	26.3358781078732	26.635210098705	25.7409442402246	25.8770992630634	26.3649342442846	26.6055331594091	25.4400852934144	26.2974289839854	26.0770886783491	26.5424217807641	26.2353348761784	25.696390010079	25.9275844561169	26.2784204328336	26.647905849701	26.4121845542641
ENSG00000001167.14	23.1555015287762	22.869403708427	23.3965541550333	23.2777437234705	22.5747227195829	22.8621984694287	23.0898248187069	23.2663586362992	23.0600868450037	22.7887413595227	22.6057094587147	23.137700552338	22.9402057554482	22.8683516869869	23.0943597087529	22.825636758757	23.1269948685833	23.115623394597
ENSG00000001461.17	18.3193649864773	18.4724828203654	17.8572750838226	18.1672477626216	NA	NA	NA	18.212598709051	18.2868200428234	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000001497.16	24.6200783603676	24.7141300515127	24.6764245776442	24.7395098357521	24.8568579925293	24.6834969315639	24.8417121425986	24.6993398065828	24.4751898649309	24.7038282740553	24.548727455917	24.6309460695076	24.8447838176766	24.676591108026	24.4767551834071	24.8827062634028	24.7269057686729	24.8280246810743
ENSG00000001561.7	23.5232011919235	23.8043552061355	23.513491799277	23.6381743812517	23.8044587487457	23.6020015384426	23.6012870057318	23.6777715574391	23.8816579065738	23.7462756190451	23.9211247220444	23.5012282958764	23.9495454463597	23.4101150221729	23.5015936571708	23.758448909353	23.586360170996	23.6384294739745
ENSG00000001617.12	19.8777231161757	18.8898387522955	19.2902158460283	19.3627038381661	19.513524880773	19.5846074708404	19.3971579849655	19.6609529067114	19.3928695037084	20.2039152366795	19.2704190008376	20.4560694726069	19.7009586613362	19.7491270313844	19.6164234469134	20.3942142644148	20.6557542843894	20.4099812135617
ENSG00000001626.16	NA	NA	19.155547758992	19.7868623138102	19.826862976505	19.288388318834	19.1049400363027	NA	NA	20.3633581150117	18.111024893435	20.583531825441	19.1436346708736	20.2508493851148	20.1597119843605	19.2704402330008	20.6312507421349	19.1576063911344
ENSG00000001629.10	22.8250458916001	22.8829228933467	22.7345588428727	22.8257555735381	22.7332902515572	22.6164227558912	22.6990221931672	22.7705249994409	22.8429896945143	22.7040027004735	22.628617174233	22.6093769380133	22.573446963745	22.6033878317421	22.5907972421831	22.6655134123611	22.7623372727377	22.4860035681908
ENSG00000001630.17	23.4700590588329	23.3382586356439	23.7958638385483	23.7541277378511	23.249782090481	23.593979893835	23.4909867742274	23.6724930422033	23.2842835474423	23.6000691780764	23.5895293772225	23.8865035711126	24.5885798778722	23.6738338564496	23.7215605637931	24.20425676663	24.2036482127861	24.4594579895564
ENSG00000002016.18	19.7653581690904	19.7993478100933	NA	NA	NA	NA	NA	19.1661759485064	19.171747608138	18.703924433182	18.3088618124724	18.573979819392	18.4346269609497	18.4607518797943	18.0997089061882	18.6016425795612	18.5557958985211	18.2296327802029
ENSG00000002330.13	22.7047972804477	22.3699044401597	22.934348373651	22.7997141956336	22.6491295539759	22.7345709898226	22.5732074645922	22.7304550111827	22.5866645362192	21.9541836791776	22.1616918249638	22.3693882039018	22.1360490371421	23.0774491986829	22.9125136242593	22.3024397795859	22.3248364195746	22.7529566757899
ENSG00000002549.12	28.3445632264039	28.4047962758193	28.3899865457216	28.4507184305096	28.4294257753115	28.2415887819309	28.2072830800973	28.1580222078611	28.1843835182984	28.1937053947892	28.6972260205718	28.275762306065	28.2244486843617	28.1962917958337	28.4862067611841	28.2298774300001	28.1835513725085	28.182623732465
ENSG00000002586.20	27.3837993522008	27.3217376035371	27.9540735992876	27.1699728248279	27.1149789308202	27.8859947527138	27.7449316644402	27.5693157178455	28.0648367562551	27.0209958911624	26.7188328859014	27.0968273176173	27.527691375727	27.514204446673	27.2270749865308	27.6832257491161	26.8507608110448	27.6112372942466
ENSG00000002726.20	22.4519018867051	23.4415094237317	21.9289840492108	22.6697116974008	22.8179671397001	22.8411642122187	22.5487398825337	22.363302609313	22.4802547042667	21.7297843815123	23.3772592446497	21.8160926784829	21.5152111701249	24.9621856920749	22.1062023836825	21.8842969473549	21.3664952778177	21.6508870872699
ENSG00000002745.13	NA	NA	NA	NA	NA	NA	NA	16.6745115520818	16.7326202860313	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000002834.18	28.9578805186869	28.9853864207165	29.1362021703459	29.0792472463135	29.1696843050391	29.1892927961523	28.942261199997	29.0587058396275	29.4114268856685	28.9158257972956	28.9910595252963	28.8142919380932	28.7425808279503	29.1718923884434	29.2918248978008	28.7743599444109	28.8335533955992	28.7160559939319
ENSG00000002919.14	NA	NA	22.1259127381593	22.1138463187364	21.736637311924	21.8850183072437	21.7061017943577	21.7509166491416	22.0355382838823	21.9624619204771	22.5126780853993	21.9314447613786	22.0709220936611	22.0836916962368	21.9732516394287	21.7286765047726	21.83269382447	22.0276537215768
ENSG00000003056.8	26.8084313693343	26.6536291786564	26.2061602082481	26.390364860267	26.6129787150258	26.7094771055325	26.3828240097834	26.5712346675446	26.5312468351878	26.6626070236306	26.5174630839841	26.6501812747954	26.4285504181721	26.236593573984	26.7678844251433	26.4589232827377	26.5879459625216	26.7307309072085
ENSG00000003096.14	21.3709613221582	21.2051995338213	21.4356325132825	21.0184256348609	20.9731099828892	21.3087225905874	20.8883478265532	21.0860123473047	21.3881138971783	20.9184769207438	20.8212882717695	20.8637769534732	20.0675768299737	21.3506343287139	21.1403534423417	20.4358110396222	20.7069473390467	20.6394295476018
ENSG00000003147.19	23.6275281287316	23.7556062468039	23.1723764599354	23.3722126967809	23.4512286530782	23.3046053732902	23.2255630959242	23.2713418941161	23.3499972908958	23.4605059723429	23.8957116305291	23.5459557057442	24.3856353116554	23.4738213453292	23.4110165494054	23.8565342473005	23.509391873521	23.8905055679013
ENSG00000003249.14	20.148156854395	19.8872633921885	19.7796522904358	19.7072324981438	19.6115354194187	19.6585995515868	19.8423913018935	18.694092996731	19.1685336276934	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000003393.15	21.448644261582	21.4927824890818	21.3627779636765	21.5072064418262	21.5662210583916	21.5060949533479	21.5650316646677	21.6141100821993	21.5458880266983	21.6457192627755	21.4642082381467	21.3511288961246	21.3480944130847	21.6110006313203	21.6395102466046	21.3750936167642	21.2183310914179	21.3887580762718
ENSG00000003400.15	22.6125231087131	23.1002238665539	22.4634799504773	22.7835112772154	22.8642245870331	22.9012265915902	22.6004265516899	22.7704880665932	22.6972684348499	22.8321483416941	22.6946664279019	22.8252337117038	22.7251248546527	23.0758474169653	23.1151596224335	22.7297576813464	22.7470929113525	22.9380231667505
ENSG00000003402.20	NA	NA	NA	NA	NA	NA	NA	15.3529145611722	15.3870495639338	16.8338257726262	17.5699295242956	16.8394635604741	17.3183847295782	17.0869892304767	17.415821587348	17.1519179780392	16.7028334266958	17.2689275581474
ENSG00000003436.16	19.9051137386138	20.5020961115468	20.1117140138757	20.1342961220535	20.5698551498245	20.6171381648142	20.6723373291983	20.5333841804195	20.8002930589312	20.2693637844703	20.2249503642823	20.5131220356291	19.5951251709619	20.3974166300644	21.1216251376738	19.7442297028341	19.727264799998	19.6721367524258
ENSG00000003509.16	22.1002583910039	22.2856562068952	22.5912035381809	22.6549244737365	22.4901395712773	22.3071980640447	22.2762049168129	22.1528323189627	22.5392157760825	22.6705340743389	22.6360831850206	22.6666207179324	22.4512709881618	22.6083359607838	22.7846231255043	22.2555837820215	22.5081045749755	22.3354116097634
ENSG00000003756.17	24.2880814012862	24.3801831820252	24.2285092316646	24.2611430985699	24.5570033044221	24.1593693351193	24.448088734161	24.3105509757345	24.2046730071426	24.3671889456259	24.2467635944856	24.4189483123334	24.4027235415166	24.4459832689262	24.4166370781891	24.4635004787814	24.4515431972299	24.4198197240541
ENSG00000003989.18	18.8167998579966	20.7804348638165	18.9993165792949	19.378345269604	NA	NA	NA	NA	NA	19.3615984911135	20.1287722125148	19.5761410376552	19.707405146246	20.5300462766629	20.3081444945304	19.2441551977833	19.6182989047219	19.0181564135736
ENSG00000004059.11	26.649763237056	26.7189680990503	26.3092448519142	26.484324747181	26.5795037144544	26.5382605305888	26.3647855979315	26.5862725407849	26.6283426678639	26.5829952416904	26.5443062468532	26.540236462126	26.5460464672675	26.5048711817767	26.5795684250195	26.6440919843637	26.5503996315487	26.5762874386631
ENSG00000004139.14	23.5477934253628	23.3424602034508	23.7032739367998	23.4525006000095	23.3355422085606	23.788220204341	23.3717059505188	23.7878295880219	23.7745934408262	23.3905614206682	23.0734779331513	23.4900469979464	22.9048277177922	23.4601016917093	23.2165567896845	23.3203107523091	23.3037885676561	23.1844065810916
ENSG00000004142.12	23.9663483244561	23.6967337097272	23.8175247333201	23.9559225142618	23.8007568429965	23.8532027732478	23.7473436806692	23.6888319799016	23.6653535034191	24.0045172905146	23.7715938287864	24.0040294814723	23.9564916345389	24.0001629173288	23.7295234956105	23.8109024448783	24.1698997460459	23.9047117430742
ENSG00000004399.12	22.5424290325547	22.1481249272076	22.5103167293148	22.4872357337193	22.4493047588794	22.991217271636	22.6493285155875	22.9624334508864	22.9975460113816	22.4092518324845	22.5083042440066	22.4850831304291	22.1853845363845	22.6056031846547	22.9248470907049	22.2984432015126	22.3309305834701	22.2921300746914
ENSG00000004455.17	27.3580146100696	27.4986031216009	27.703675103171	27.6643709176907	27.5739437982503	27.5708850747154	27.5304030765706	27.262249402904	27.2038062559197	27.5091020885532	27.4434457769202	27.3070940286288	27.7397982014848	27.6592069360116	27.60282172572	27.4146706026843	27.2752749111277	27.414516358789
ENSG00000004468.13	22.5607222488637	22.9717936182136	22.078388298737	22.7417419954037	22.8985832677303	23.0290098835373	22.3979266752585	22.3254830973254	22.4407727878857	22.4769309761772	23.5898902611673	22.4615926540973	21.6333691687618	22.6135929346015	23.3144674789134	22.2188471779244	22.3833237808296	22.3161753094825
ENSG00000004478.8	28.4241516844653	27.6362235283878	28.3448191642733	28.0781718310351	27.7140617027475	28.2033872600799	28.1429638737351	28.0029086650574	27.6576688886333	27.9975222611859	27.734700221434	28.0698693743804	28.4542480840382	27.7533808133455	27.5475677573494	28.4514007869551	28.1445842401942	28.2301928082571
ENSG00000004487.17	25.6621706046205	25.5532908604416	25.5067831604789	25.599979555986	25.6215709415056	25.5405255435783	25.5419130839657	25.6400897532073	25.3164780364227	25.6232815410492	25.4074796622928	25.785481529717	25.7944310655419	25.5444082901452	25.5497662013847	25.7701993038354	25.8096795567841	25.7153922406969
